gave,give^yield^afford^pay^hold^throw^have^make^gift^present^devote^render^return^generate^impart^leave^pass_on^establish^sacrifice^pass^hand^reach^turn_over^dedicate^consecrate^commit^apply^grant^move_over^give_way^ease_up^feed^contribute^chip_in^kick_in^collapse^fall_in^cave_in^break^founder^open
names,name_calling^name^gens^figure^public_figure^epithet^call^identify^nominate^make^appoint^constitute^mention^advert^bring_up^cite^refer^discover^key^key_out^distinguish^describe^list^diagnose
found,establish^set_up^launch^plant^constitute^institute^base^ground^find^happen^chance^bump^encounter^detect^observe^discover^notice^regain^determine^find_out^ascertain^feel^witness^see^line_up^get_hold^come_up^rule^receive^get^obtain^incur^recover^retrieve^find_oneself
sleep,slumber^sopor^nap^rest^eternal_rest^eternal_sleep^quietus^kip^log_Z's^catch_some_Z's
fall,autumn^spill^tumble^Fall^descent^declivity^decline^declination^declension^downslope^downfall^capitulation^surrender^twilight^dusk^gloaming^gloam^nightfall^evenfall^crepuscule^crepuscle^pin^drop^dip^free_fall^descend^go_down^come_down^come^precipitate^shine^strike^decrease^diminish^lessen^accrue^light^return^pass^devolve^fall_down^hang^flow^settle
slept,sleep^kip^slumber^log_Z's^catch_some_Z's
ribs,rib^costa^ridicule^roast^guy^blackguard^laugh_at^jest_at^make_fun^poke_fun
closed,close^shut^close_up^fold^shut_down^close_down^conclude^come_together^fill_up^unopen^unsympathetic^closed_in
flesh,human_body^physical_body^material_body^soma^build^figure^physique^anatomy^shape^bod^chassis^frame^form^pulp
rib,costa^ridicule^roast^guy^blackguard^laugh_at^jest_at^make_fun^poke_fun
taken,take^occupy^use_up^lead^direct^conduct^guide^get_hold_of^assume^acquire^adopt^take_on^read^bring^convey^choose^select^pick_out^accept^have^fill^consider^deal^look_at^necessitate^ask^postulate^need^require^involve^call_for^demand^film^shoot^remove^take_away^withdraw^consume^ingest^take_in^submit^strike^take_up^admit^learn^study^claim^exact^make^aim^train^take_aim^carry^pack^lease^rent^hire^charter^engage^subscribe^subscribe_to^contain^hold^drive^contract^get^interpreted
woman,adult_female^charwoman^char^cleaning_woman^cleaning_lady^womanhood^fair_sex
her,
